Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,Gender_b,Married_b,Location_b,Ownhome_b,Age_y,Age_m,Hist_m,Hist_h
Old,Female,Own,Single,Close,25500,0,Low,18,636,1,0,1,1,0,0,0,0
Young,Female,Rent,Single,Far,20000,3,Low,6,182,1,0,0,0,1,0,0,0
Middle,Male,Rent,Single,Far,52600,1,NA,18,1773,0,0,0,0,0,1,0,0
Middle,Male,Rent,Married,Far,97600,1,NA,12,2902,0,1,0,0,0,1,0,0
Old,Male,Own,Married,Close,23400,0,Low,6,348,0,1,1,1,0,0,0,0
Middle,Female,Own,Married,Close,102500,3,Low,12,548,1,1,1,1,0,1,0,0
Middle,Female,Own,Married,Far,52300,1,High,18,2034,1,1,0,1,0,1,0,1
Middle,Male,Rent,Single,Far,65400,0,High,12,2296,0,0,0,0,0,1,0,1
Young,Male,Rent,Single,Close,19600,0,Low,12,395,0,0,1,0,1,0,0,0
Old,Male,Own,Married,Far,37000,0,Medium,12,850,0,1,0,1,0,0,1,0
Young,Female,Rent,Single,Far,13200,0,NA,18,512,1,0,0,0,1,0,0,0
Middle,Male,Rent,Single,Close,63800,1,Medium,24,1622,0,0,1,0,0,1,1,0
Old,Female,Rent,Single,Far,22600,0,NA,12,865,1,0,0,0,0,0,0,0
Old,Female,Own,Single,Close,37300,0,Medium,6,673,1,0,1,1,0,0,1,0
Young,Male,Rent,Single,Far,14900,1,NA,12,422,0,0,0,0,1,0,0,0
Middle,Female,Own,Single,Close,36700,1,NA,6,529,1,0,1,1,0,1,0,0
Middle,Male,Own,Single,Close,63200,0,High,24,1932,0,0,1,1,0,1,0,1
Old,Male,Own,Married,Close,77300,0,High,18,1853,0,1,1,1,0,0,0,1
Middle,Male,Rent,Single,Close,43100,1,NA,12,1224,0,0,1,0,0,1,0,0
Middle,Female,Rent,Single,Far,44800,1,Medium,6,666,1,0,0,0,0,1,1,0
Old,Female,Rent,Married,Close,70900,0,High,24,1685,1,1,1,0,0,0,0,1
Middle,Female,Rent,Single,Far,38200,0,Medium,24,1476,1,0,0,0,0,1,1,0
Young,Female,Rent,Single,Far,18400,1,Low,6,319,1,0,0,0,1,0,0,0
Middle,Female,Rent,Single,Close,40700,3,Low,18,232,1,0,1,0,0,1,0,0
Old,Male,Own,Single,Close,71300,0,High,18,1543,0,0,1,1,0,0,0,1
Middle,Female,Rent,Single,Close,36400,2,Low,18,506,1,0,1,0,0,1,0,0
Young,Male,Rent,Single,Close,15400,0,Low,6,172,0,0,1,0,1,0,0,0
Middle,Male,Own,Single,Far,39100,1,Medium,12,1001,0,0,0,1,0,1,1,0
Middle,Male,Rent,Single,Close,43800,0,Medium,12,606,0,0,1,0,0,1,1,0
Young,Male,Rent,Single,Far,25300,0,Medium,12,591,0,0,0,0,1,0,1,0
Old,Male,Rent,Married,Close,71800,0,High,12,1389,0,1,1,0,0,0,0,1
Middle,Male,Own,Single,Close,73200,0,High,24,2177,0,0,1,1,0,1,0,1
Middle,Male,Own,Married,Far,79000,1,High,18,2279,0,1,0,1,0,1,0,1
Middle,Female,Rent,Married,Close,75200,1,NA,24,2702,1,1,1,0,0,1,0,0
Young,Female,Rent,Single,Close,25300,3,NA,6,510,1,0,1,0,1,0,0,0
Old,Female,Own,Married,Close,43600,0,Medium,12,1047,1,1,1,1,0,0,1,0
Middle,Male,Own,Married,Close,83600,2,Medium,6,538,0,1,1,1,0,1,1,0
Middle,Female,Own,Single,Far,56200,0,High,18,1546,1,0,0,1,0,1,0,1
Young,Male,Rent,Married,Close,45500,0,Medium,6,754,0,1,1,0,1,0,1,0
Middle,Male,Own,Married,Close,99300,1,High,12,1504,0,1,1,1,0,1,0,1
Middle,Male,Own,Married,Far,108000,3,High,24,1849,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Far,84900,1,High,24,3072,1,1,0,1,0,1,0,1
Middle,Male,Own,Married,Far,93000,3,High,6,1046,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,82000,0,High,18,1800,1,1,1,1,0,1,0,1
Old,Female,Own,Single,Close,33000,3,NA,6,700,1,0,1,1,0,0,0,0
Middle,Female,Own,Single,Close,36900,2,Low,24,514,1,0,1,1,0,1,0,0
Middle,Female,Rent,Single,Close,33200,1,NA,6,320,1,0,1,0,0,1,0,0
Young,Male,Rent,Married,Close,49300,0,NA,24,1692,0,1,1,0,1,0,0,0
Old,Male,Rent,Married,Far,66200,0,High,24,2057,0,1,0,0,0,0,0,1
Middle,Male,Own,Married,Far,96800,2,High,18,2299,0,1,0,1,0,1,0,1
Old,Male,Own,Single,Close,63200,0,High,24,1507,0,0,1,1,0,0,0,1
Old,Male,Own,Married,Far,112900,0,High,24,6217,0,1,0,1,0,0,0,1
Middle,Female,Rent,Single,Close,32100,2,Low,24,405,1,0,1,0,0,1,0,0
Middle,Male,Own,Married,Far,102700,1,High,18,3785,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Close,123800,2,NA,18,3537,0,1,1,1,0,1,0,0
Old,Female,Rent,Single,Far,11700,0,Low,18,540,1,0,0,0,0,0,0,0
Middle,Male,Own,Married,Close,101700,1,NA,6,941,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Far,99200,0,High,24,5503,1,1,0,1,0,1,0,1
Young,Male,Rent,Single,Close,17600,0,NA,6,273,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,19400,1,NA,18,384,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Far,40500,1,NA,18,1073,0,0,0,0,0,1,0,0
Old,Male,Own,Single,Close,44800,0,Medium,24,1417,0,0,1,1,0,0,1,0
Middle,Male,Own,Married,Close,79000,2,Medium,18,671,0,1,1,1,0,1,1,0
Young,Male,Rent,Married,Close,53600,1,Medium,24,973,0,1,1,0,1,0,1,0
